anio,mes_nro,mes,jurisdiccion,apellido_nombre,cargo,asignacion_mensual,sac,otros,observaciones
2020,3,Marzo,Jefatura de Gabinete de Ministros,"Cafiero, Santiago Andres",Ministro,312657.00,,,
2020,3,Marzo,Del Interior,"De Pedro, Eduardo Enrique",Ministro,312646.12,,,
2020,3,Marzo,"Relaciones Exteriores, Comercio Internacional y Culto","Sola, Felipe Carlos",Ministro,312646.14,,,
2020,3,Marzo,Defensa,"Rossi, Agustin Oscar",Ministro,312646.13,,,
2020,3,Marzo,Economía,"Guzman, Martin Maximiliano",Ministro,312656.57,,,
2020,3,Marzo,Desarrollo Productivo,"Kulfas, Matias Sebastian",Ministro,312646.13,,,
2020,3,Marzo,"Agricultura, Ganadería y Pesca","Basterra, Luis Eugenio",Ministro,312656.57,,,
2020,3,Marzo,Justicia y Derechos Humanos,"Losardo, Marcela",Ministro,312646.14,,,
2020,3,Marzo,Desarrollo Social,"Arroyo, Daniel Fernando",Ministro,312646.14,,,
2020,3,Marzo,"Trabajo, Empleo y Seguridad Social","Moroni, Claudio Omar",Ministro,312646.13,,,
2020,3,Marzo,Salud,"Gonzalez Garcia, Gines Mario",Ministro,312646.14,,,
2020,3,Marzo,Educación,"Trotta, Nicolas Alfredo",Ministro,312646.13,,,
2020,3,Marzo,Cultura,"Bauer, Tristan",Ministro,312646.14,,,
2020,3,Marzo,"Ciencia, Tecnología e Innovación","Salvarezza, Roberto Carlos",Ministro,312646.14,,,
2020,3,Marzo,Obras Públicas,"Katopodis, Gabriel Nicolas",Ministro,312646.12,,,
2020,3,Marzo,Desarrollo Territorial y Hábitat,"Bielsa, Maria Eugenia",Ministro,312646.12,,,
2020,3,Marzo,Seguridad,"Frederic, Sabina Andrea",Ministro,312646.13,,,
2020,3,Marzo,Transporte,"Meoni, Mario Andres",Ministro,312646.13,,,
2020,3,Marzo,"Mujeres, Géneros y Diversidad","Gomez Alcorta, Elizabeth Victoria",Ministro,312646.14,,,
2020,3,Marzo,Turismo y Deportes,"Lammens Nuñez, Matias Daniel",Ministro,312646.14,,,
2020,3,Marzo,Ambiente y Desarrollo Sostenible,"Cabandie, Juan",Ministro,312646.13,,,
2020,3,Marzo,Secretaría General,"Vitobello, Julio Fernando",Secretario,312646.43,,,
2020,3,Marzo,Secretaría Legal y Técnica,"Ibarra, Vilma Lidia",Secretario,312646.13,,,
2020,3,Marzo,Secretaría de Asuntos Estratégicos,"Beliz, Gustavo Osvaldo",Secretario,312646.43,,,
2020,4,Abril,Presidencia de la Nación,"Fernandez, Alberto Angel",Presidente,354694.16,,,
2020,4,Abril,Presidencia de la Nación,"Fernandez, Cristina Elisabet",Vice-presidente ,328419.59,,,
2020,4,Abril,Jefatura de Gabinete de Ministros,"Cafiero, Santiago Andres",Ministro,312657.00,,,
2020,4,Abril,Del Interior,"De Pedro, Eduardo Enrique",Ministro,312646.12,,,
2020,4,Abril,"Relaciones Exteriores, Comercio Internacional y Culto","Sola, Felipe Carlos",Ministro,312646.14,,,
2020,4,Abril,Defensa,"Rossi, Agustin Oscar",Ministro,312646.13,,,
2020,4,Abril,Economía,"Guzman, Martin Maximiliano",Ministro,312656.57,,,
2020,4,Abril,Desarrollo Productivo,"Kulfas, Matias Sebastian",Ministro,312646.13,,,
2020,4,Abril,"Agricultura, Ganadería y Pesca","Basterra, Luis Eugenio",Ministro,312656.57,,,
2020,4,Abril,Justicia y Derechos Humanos,"Losardo, Marcela",Ministro,312646.14,,,
2020,4,Abril,Desarrollo Social,"Arroyo, Daniel Fernando",Ministro,312646.14,,,
2020,4,Abril,"Trabajo, Empleo y Seguridad Social","Moroni, Claudio Omar",Ministro,312646.13,,,
2020,4,Abril,Salud,"Gonzalez Garcia, Gines Mario",Ministro,312646.14,,,
2020,4,Abril,Educación,"Trotta, Nicolas Alfredo",Ministro,312646.13,,,
2020,4,Abril,Cultura,"Bauer, Tristan",Ministro,312646.14,,,
2020,4,Abril,"Ciencia, Tecnología e Innovación","Salvarezza, Roberto Carlos",Ministro,312646.14,,,
2020,4,Abril,Obras Públicas,"Katopodis, Gabriel Nicolas",Ministro,312646.12,,,
2020,4,Abril,Desarrollo Territorial y Hábitat,"Bielsa, Maria Eugenia",Ministro,312646.12,,,
2020,4,Abril,Seguridad,"Frederic, Sabina Andrea",Ministro,312646.13,,,
2020,4,Abril,Transporte,"Meoni, Mario Andres",Ministro,312646.13,,,
2020,4,Abril,"Mujeres, Géneros y Diversidad","Gomez Alcorta, Elizabeth Victoria",Ministro,312646.14,,,
2020,4,Abril,Turismo y Deportes,"Lammens Nuñez, Matias Daniel",Ministro,312646.14,,,
2020,4,Abril,Ambiente y Desarrollo Sostenible,"Cabandie, Juan",Ministro,312646.13,,,
2020,4,Abril,Secretaría General,"Vitobello, Julio Fernando",Secretario,312646.43,,,
2020,4,Abril,Secretaría Legal y Técnica,"Ibarra, Vilma Lidia",Secretario,312646.13,,,
2020,4,Abril,Secretaría de Asuntos Estratégicos,"Beliz, Gustavo Osvaldo",Secretario,312646.43,,,
2020,5,Mayo,Presidencia de la Nación,"Fernandez, Alberto Angel",Presidente,354694.16,,,
2020,5,Mayo,Presidencia de la Nación,"Fernandez, Cristina Elisabet",Vice-presidente ,328419.59,,,
2020,5,Mayo,Jefatura de Gabinete de Ministros,"Cafiero, Santiago Andres",Ministro,312657.00,,,
2020,5,Mayo,Del Interior,"De Pedro, Eduardo Enrique",Ministro,312646.12,,,
2020,5,Mayo,"Relaciones Exteriores, Comercio Internacional y Culto","Sola, Felipe Carlos",Ministro,312646.14,,,
2020,5,Mayo,Defensa,"Rossi, Agustin Oscar",Ministro,312646.13,,,
2020,5,Mayo,Economía,"Guzman, Martin Maximiliano",Ministro,312656.57,,,
2020,5,Mayo,Desarrollo Productivo,"Kulfas, Matias Sebastian",Ministro,312646.13,,,
2020,5,Mayo,"Agricultura, Ganadería y Pesca","Basterra, Luis Eugenio",Ministro,312656.57,,,
2020,5,Mayo,Justicia y Derechos Humanos,"Losardo, Marcela",Ministro,312646.14,,,
2020,5,Mayo,Desarrollo Social,"Arroyo, Daniel Fernando",Ministro,312646.14,,,
2020,5,Mayo,"Trabajo, Empleo y Seguridad Social","Moroni, Claudio Omar",Ministro,312646.13,,,
2020,5,Mayo,Salud,"Gonzalez Garcia, Gines Mario",Ministro,312646.14,,,
2020,5,Mayo,Educación,"Trotta, Nicolas Alfredo",Ministro,312646.13,,,
2020,5,Mayo,Cultura,"Bauer, Tristan",Ministro,312646.14,,,
2020,5,Mayo,"Ciencia, Tecnología e Innovación","Salvarezza, Roberto Carlos",Ministro,312646.14,,,
2020,5,Mayo,Obras Públicas,"Katopodis, Gabriel Nicolas",Ministro,312646.12,,,
2020,5,Mayo,Desarrollo Territorial y Hábitat,"Bielsa, Maria Eugenia",Ministro,312646.12,,,
2020,5,Mayo,Seguridad,"Frederic, Sabina Andrea",Ministro,312646.13,,,
2020,5,Mayo,Transporte,"Meoni, Mario Andres",Ministro,312646.13,,,
2020,5,Mayo,"Mujeres, Géneros y Diversidad","Gomez Alcorta, Elizabeth Victoria",Ministro,312646.14,,,
2020,5,Mayo,Turismo y Deportes,"Lammens Nuñez, Matias Daniel",Ministro,312646.14,,,
2020,5,Mayo,Ambiente y Desarrollo Sostenible,"Cabandie, Juan",Ministro,312646.13,,,
